AREA_NAME,YEAR,GROUP_NAME,SUB_GROUP_NAME,AUTO_THEFT_COORDINATED_TRACED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
Uttarakhand,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,100.0,339
West Bengal,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25.0,398.0,2166
Andaman & Nicobar Islands,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,5
Andhra Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,79.0,1754.0,4554
Arunachal Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,22.0,74
Assam,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16.0,248.0,674
Bihar,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,275.0,1700
Chandigarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,117.0,361
Chhattisgarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80.0,630.0,1910
Dadra & Nagar Haveli,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,7.0,12
Daman & Diu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,3.0,19
Delhi,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105.0,953.0,4627
Goa,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,52.0,170
Gujarat,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,423.0,1437.0,6409
Haryana,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,1556.0,4641
Himachal Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32.0,38.0,74
Jammu & Kashmir,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,74.0,287
